,video_id,comment_id,author_id,author_name,comment_text,published_at
16,BaITjgnDKbs,UgwC1bkc88UnvMkT0114AaABAg,UCCnyK5dUkOQN_ueH9TqMvpw,@maryibarra359,MI QUERIDA PRESIDENTA CLAUDIA SHEMBAU LA UNCIMSS TLAXCALA PRESENTE EN LA LUCHA POR LA RECUPERACIÓN DE NUESTROS AHORROS DE CESANTIA Y VEJEZ PRESENTE NO DESISTIREMOS,2025-05-19T21:11:11Z
17,BaITjgnDKbs,UgxnymjvQgVYQwdVaUt4AaABAg,UCRvYJgDkPN0hPoNIkVFcftw,@MartinLozano-h8t,Aora k avlan de progama a los niños yo soi del municipio de azala Veracruz y i no entiendo porke Melos inoran ya k nolesdal  el apoyo,2025-05-19T21:08:11Z
18,BaITjgnDKbs,Ugy_BoCfx22-qwJuvM54AaABAg,UCTjJcSoFLc_sMKkhjH2WhZA,@hectorflores7577,"Saludos Mexico desde Norte de Carolina.
Vamos votemos y elijamos al Nuevo Poder Juficial!",2025-05-19T20:55:52Z
19,BaITjgnDKbs,Ugz5DHEmwejmI99dhcp4AaABAg,UCwl81Av3JnVvDj2Xbs2X_zQ,@noehernandez4024,Estamos con usted sra.Presifenta va muy bien.,2025-05-19T20:46:26Z
20,BaITjgnDKbs,Ugx2Y_ydtP-lTJGoBuh4AaABAg,UCKio7WmeYJcKOQ2smSdhsbg,@anthonyramirez4708,Desde Las Vegas Nevada es un honor estar con mi presidenta CLAUDIA SHEINBAUM  es muy triste lo que le paso el buque caulhtemoc y perdida de Los dos cadetes de marina y viva MEXICO 🇲🇽 🇲🇽 🇲🇽,2025-05-19T20:41:18Z
21,BaITjgnDKbs,UgyutMCDsGWZFRFLiPd4AaABAg,UCs6owxl5p1k_vx7ntSFRDPQ,@farmaciahomeopatica613,✅✅✅ Al 💯 de acuerdo con usted Presidenta de México ✅✅✅,2025-05-19T20:29:15Z
22,BaITjgnDKbs,UgylrKiWJ_aRsGDWofl4AaABAg,UCUugQJsM0F_1RA3OgSmX0SQ,@EsperanzaHernandez-md1yg,"En BC no tenemos buenos gobernantes, por favor investiguen bien.",2025-05-19T19:51:21Z
23,BaITjgnDKbs,UgxoaRrD9zVipKnqpoZ4AaABAg,UCUugQJsM0F_1RA3OgSmX0SQ,@EsperanzaHernandez-md1yg,"En BC no tenemos buenos gobernantes, por favor investiguen bien.",2025-05-19T19:50:46Z
24,BaITjgnDKbs,Ugyq6-azDDVPGwxKIUt4AaABAg,UCzP8pAzFn3h-7Ketm_05rcw,@RubenQuiroga-n5m,Mexico free country that USA helping people USA screw little people walk 7 ll worry lce  send you back,2025-05-19T19:45:54Z
25,BaITjgnDKbs,UgymzMACSsWkTo2S4iN4AaABAg,UCLkQPlyTPWuIaqNw9-Hk94w,@LuluSanchez-eq8bd,"Dra.Sheinbaum Presidenta de México buenas tardes,soy jubilada del Imss,la súplica de ayuda es para que intervenga en la modificacion de la Jurisprudencia 185/2008 para recuperar nuestros ahorros. Ya es mucho tiempo y aun no resuelven.gracias.",2025-05-19T19:40:40Z
26,BaITjgnDKbs,UgxN-qoUBPyfVWwCacN4AaABAg,UCB_lxohFpYSGF5aCmaeXVIw,@aliciagarciamartinez1721,"Lo que no es bueno de la presidenta, es que siempre defiende a los gobernadores corruptos, porque lo que se ve no se juzga esa gobernadora se sabe lo mal que gobierna",2025-05-19T19:11:30Z
27,BaITjgnDKbs,UgyZmMmWHgeb0XUxfvF4AaABAg,UCzP8pAzFn3h-7Ketm_05rcw,@RubenQuiroga-n5m,For got tornadoes billion billion dollars trump didn't care didn't helping 27 death USA new make 💡?????,2025-05-19T19:01:20Z
28,BaITjgnDKbs,Ugz_0_cBUTTZeR4UDKd4AaABAg,UC3l-Bff9grB-vqGfrbxJ57w,@juanoliva3762,Te amamos presidenta todos los mexicanos  que buena respuesta a la reportera chayotera de veracruz,2025-05-19T18:59:32Z
29,BaITjgnDKbs,Ugy8czK70rGhD3wXd314AaABAg,UCd-qY4WxVG_3KsXg3qsJNhA,@pedropozos1160,Excelente x el presidente Lopez obrador que empodero al pueblo le abrió los ojos que nos tenían serrados con engaños con sus medios traidores apoyadores de los saquiadores del país xk se veneficiaban en contubernio se isieron riquísimos a costa del pueblo tenían una tienda que se servían y no le dejaban nada al pueblo llega el presidente andres Manuel Lopez obrador y les quita el poder y  lo quisieron tumbar con mentiras con difamaciones con sus medios de siempre que están a su servicio creyendo que Ivan a lograr tirarlo pero gracias adiós que el se previno con este medio de informar todo sacarlo todo al público,2025-05-19T18:37:06Z
30,BaITjgnDKbs,Ugw11MXxe8OFtsqtp4h4AaABAg,UCcLRXEO7We0K7LaEkLtmHwA,@HectorCortes-yq2hs,Que siga la trasformacion 4t  es un onor tener a la precidenta claudia  mul buena la informavion ❤,2025-05-19T18:05:48Z
31,BaITjgnDKbs,Ugylp9Xr_WXXM-Ba_bl4AaABAg,UC_YzBTGtwnv3z7bDrIly1Qw,@paulamella-ns,"Estaba un poco escéptico, pero finalmente lo intenté con mi pequeña inversión y obtuve una gran ganancia.",2025-05-19T18:04:09Z
32,BaITjgnDKbs,UgwijWp1ev2hRO5sxBl4AaABAg,UCSdhxYh62twZ9j42xM73Tyw,@ManuelBelman-i2t,el pueblo de baja California no queremos a la governadora,2025-05-19T18:03:37Z
33,BaITjgnDKbs,Ugy-QHlHzpDDsxqHB3B4AaABAg,UC-tO8tGqwxhgMeZ_y9-fXpg,@josegoti2,"MI AMIGUITA DEL HUMANISMO .. EN MEDIO DE MUCHO TRABAJO ¿NO LE QUEDABA DE OTRA QUE ALIMENTARSE CON PAPITAS Y COCACOLAS? DIIIGO O ¿POR QUÉ DE REPENTE TAN GOGA? ¡GENTE! A HACER EJERCICIO Y FUERA CHATARRA Y PARA ELLO, QUE NO LE SOBRECARGUEN DE TRABAJO. tsss coacrer. tss ¿qéseso?",2025-05-19T18:02:06Z
34,BaITjgnDKbs,UgxAj5O1gQ1G_m6zOHN4AaABAg,UCt8xKK60VaYU613A-fvfskg,@simonarellano8385,Por que no empezar por la z en un bimestre ya que algunas veces nos urge gracias,2025-05-19T17:48:09Z
35,BaITjgnDKbs,UgybVIX4ebbjoiZKhW54AaABAg,UC5m-3SOM1y-Q7c5cEMYsIrw,@joaquinmejiaresendiz3862,"Si tuviera tantita vergüenza los politiqueros de la derecha, pero no la tienen PAN y PRI dan 🤮🤮🤮y el pueblo les Paga por ser perjudicados por ellos mismos",2025-05-19T17:47:31Z
36,BaITjgnDKbs,Ugwp2CoNiy3YisWkaeF4AaABAg,UC-tO8tGqwxhgMeZ_y9-fXpg,@josegoti2,¿PORQUÉ NO EXPLICAN PORQUÉ DISMINUYERON EL INCREMENTO A PENSIONES DE ADULTOS MAYORES Y DISCAPACITADOS MENOR AL INCREMENTO DE LA INFLACIÓN .. POR QUÉ EVITAN EL TEMA?,2025-05-19T17:34:44Z
37,BaITjgnDKbs,UgxzM7wX6t7fOERAtB94AaABAg,UCcsIw4QKDIe5JW8FA6_JCDQ,@raulamador7958,Presidenta en hgo sesiguen robando los medicamentos.los funcionarios tachado .menchaca lo debe de saber nomas se ase we,2025-05-19T17:33:27Z
38,BaITjgnDKbs,Ugy7IMt77VH1fbb4FCF4AaABAg,UCQmJQbk8iYZjgyDOkmnocdA,@jorgeescutiavega4906,Pueblo de NVO GUERRERO TAMPS URGE UN CAMBIO DEMOLER CASAS ABANDONADAS Y LIMPIAR TERRENOS  FALTA LANCHAS PARA PEZCADORES  Y SEGURIDAD PARA LA PLANTA IDROELECTRICA Falcon  estamos olvidados por el gobierno y estado,2025-05-19T17:22:20Z
39,BaITjgnDKbs,UgwFVoLJgvyIl1-zvLt4AaABAg,UCwICFQMNVqXXcggG2Kz1-MA,@rocioolivares8041,"Buenos días oiga Profeco no están haciendo su trabajo deben de estar presente en todas tiendas ,no se dan cuenta el cambio de precios casi cada mes,o mes y medio Chedraui,bodega de Aurrerá, liverpool,y en mercados de la CDMX y más no estamos de acuerdo el trabajo que hacen y reciben mucho sueldo A TRABAJAR 😄☘️",2025-05-19T17:20:25Z
40,BaITjgnDKbs,UgzvvhIuCJi6DpId8-t4AaABAg,UCWLCc7lcC3q6-_d8Ou4zNcw,@FranciscoAguilarVitela,"La educacion de generar personas con una formacion muy fuerte en valores basicos fundamentales antes de formar una sociedad mas justa e igualitaria  porque en un estado republicano se utilizan mucho los conceptos de: igualdad, libertad y justicia,pero estos conceptos tienen un significado muy vago y relativo. Si observamos la naturaleza no se observa ninguna igualdad , ninguna justicia y ninguna libertad, sin embargo conceptos como, no robar , decir la verdad,tener respeto tienen un claro signigicado, los conceptos son: honestidad, honradez, respeto, el significado de los valores eticos son claros no son vagos",2025-05-19T17:18:04Z
41,BaITjgnDKbs,Ugy6HfQPAb0Mq8uc28B4AaABAg,UCuqmVNQilG6O36mu7O16eOQ,@MARIOENRIQUEFERNANDEZPUPO,Está bruja quiere chanchullo,2025-05-19T17:14:55Z
42,BaITjgnDKbs,UgyWe0YOWXE-FihchVB4AaABAg,UCtJr__ne53Q6KBWR8prB2ug,@francozuppa5479,La eficiencia de jóvenes construyendo etc. es del 70% deberían de vincular de manera más formal a las cámaras industriales para consolidar el programa en su parte más importante; conseguir empleo al final del programa.,2025-05-19T17:08:49Z
43,BaITjgnDKbs,Ugx3LZV4xNPoo1FESGN4AaABAg,UCnZcsQyseX7CV8Yz2LCs_tQ,@ma.luisaceronortega725,"Dios  de tranquilidad  y luz  a los padres de los jovenes que  se adelantaron. Mi solidaridad a la marina . Lamentable algunos comunucadores y politicos que hacen anarillismo  , con esta desgracia.",2025-05-19T17:06:38Z
44,BaITjgnDKbs,UgyKFR5m21SQoy_U73t4AaABAg,UC5kk3TLG4C4UOrv3ReIJ9qA,@LupitaLove,Nuestra Presidenta la mejor del Mundo ella no solo piensa en ella y su familia también quiere lo mejor para nuestros hijos y familia no como Otros que usan el Dinero de todos los Mexicanos para darles escuelas en otros países a sus hijos y solo quieren ser ellos son hijos con dinero 💰 de México y viven en Otros países como millonarios no más 🇲🇽🤯,2025-05-19T17:06:20Z
45,BaITjgnDKbs,UgxwRF2OEydPuNEZDXB4AaABAg,UCS1xaY4E0IqFAxTMzkyZ4Gg,@MOISESLopez-r2t,La mejor presidenta qué tenemos en México,2025-05-19T17:03:44Z
46,BaITjgnDKbs,UgzJMa9jrpBReZD_pIp4AaABAg,UCQmJQbk8iYZjgyDOkmnocdA,@jorgeescutiavega4906,Trump ssbe todo y sabe como snda un gobernador por eso esta suspendiendo visas a gobernadores que que andan mal,2025-05-19T17:01:28Z
47,BaITjgnDKbs,UgwEgOEv0CmcxCQpCZh4AaABAg,UCVCn55qGNzZSwjzyAJdQJyQ,@yaazzyy8410,"Todo apoyo a la Marina, al pueblo de Mexico y a la Presidenta Claudia Sheinbaum desde Venezuela!!!",2025-05-19T16:58:14Z
